trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
5.430490000000000317e-02	2.675900000000000153e-02	-7.838430000000000397e-02	6.817670000000000067e-04	2.561550000000000112e-03	-9.871920000000000174e-04
3.385559999999999958e-02	8.383219999999999561e-02	-6.070779999999999926e-02	-3.734319999999999849e-04	2.244799999999999920e-03	-1.185630000000000017e-03
4.429580000000000323e-02	2.273889999999999939e-02	-1.016070000000000029e-01	6.094569999999999892e-04	2.454660000000000002e-03	-1.151139999999999932e-03
4.430490000000000123e-02	3.373280000000000028e-02	-9.562560000000000504e-02	6.751520000000000438e-04	2.547859999999999882e-03	-1.200420000000000003e-03
4.426999999999999685e-02	1.114050000000000040e-01	-6.508150000000000046e-02	-3.011739999999999730e-04	2.244799999999999920e-03	-1.298820000000000009e-03
4.432139999999999691e-02	1.417829999999999958e-02	-9.336859999999999604e-02	5.933110000000000120e-04	2.647420000000000155e-03	-1.392589999999999974e-03
3.803610000000000324e-02	6.857159999999999644e-02	-6.578660000000000063e-02	2.650110000000000009e-04	2.436740000000000173e-03	-1.392589999999999974e-03
4.428409999999999985e-02	9.043049999999999700e-02	-5.404470000000000107e-02	-4.505269999999999913e-04	2.244799999999999920e-03	-1.392589999999999974e-03
3.672380000000000089e-02	2.980479999999999935e-02	-8.148980000000000112e-02	5.962489999999999761e-04	2.588700000000000202e-03	-1.392589999999999974e-03
4.149889999999999829e-02	2.985250000000000056e-02	-8.566659999999999553e-02	2.678000000000000042e-04	2.670570000000000149e-03	-1.453000000000000081e-03
3.415859999999999730e-02	9.951350000000000473e-02	-5.698299999999999893e-02	-6.488620000000000498e-04	2.424389999999999792e-03	-1.323090000000000073e-03
2.241129999999999858e-02	2.533569999999999919e-02	-1.040029999999999982e-01	1.938080000000000119e-04	2.244799999999999920e-03	-1.392589999999999974e-03
3.861719999999999736e-02	5.219159999999999772e-02	-9.390410000000000423e-02	6.606550000000000096e-04	2.455150000000000127e-03	-1.392589999999999974e-03
4.200750000000000317e-02	9.666639999999999955e-02	-8.116729999999999778e-02	-3.780610000000000112e-04	2.503899999999999876e-03	-1.271769999999999975e-03
4.347369999999999707e-02	1.134809999999999985e-02	-1.220470000000000027e-01	2.779230000000000155e-04	2.702120000000000129e-03	-1.392580000000000033e-03
3.869380000000000042e-02	4.469479999999999981e-02	-1.009219999999999978e-01	9.987460000000000088e-05	3.009710000000000076e-03	-1.392580000000000033e-03
3.087629999999999889e-02	1.158919999999999950e-01	-8.665910000000000279e-02	-8.517410000000000432e-04	2.504269999999999847e-03	-1.392580000000000033e-03
4.530189999999999911e-02	2.402069999999999900e-02	-8.931350000000000400e-02	2.840340000000000117e-04	2.914400000000000150e-03	-1.392580000000000033e-03
4.809370000000000311e-02	3.059339999999999976e-02	-9.254809999999999426e-02	8.027810000000000241e-04	3.051649999999999936e-03	-1.392580000000000033e-03
4.112339999999999746e-02	9.329099999999999893e-02	-8.455840000000000578e-02	-4.810339999999999755e-04	2.514259999999999932e-03	-1.299840000000000023e-03
3.868619999999999698e-02	2.407099999999999865e-02	-1.093549999999999939e-01	6.120750000000000106e-04	2.753690000000000044e-03	-1.392580000000000033e-03
3.870200000000000029e-02	4.750370000000000287e-02	-8.580859999999999876e-02	3.542430000000000166e-04	2.914400000000000150e-03	-1.392580000000000033e-03
3.870200000000000029e-02	1.145919999999999994e-01	-7.236860000000000515e-02	-7.442049999999999534e-04	2.914400000000000150e-03	-1.392580000000000033e-03
5.678529999999999689e-02	3.534219999999999723e-02	-8.873240000000000294e-02	3.791360000000000238e-04	2.914400000000000150e-03	-1.453450000000000011e-03
4.668220000000000008e-02	5.166799999999999865e-02	-9.506929999999999548e-02	7.853660000000000155e-04	2.914400000000000150e-03	-1.392580000000000033e-03
4.079649999999999943e-02	1.245450000000000029e-01	-7.009869999999999990e-02	-6.667380000000000528e-04	2.914400000000000150e-03	-1.596530000000000084e-03
3.767569999999999947e-02	3.370630000000000154e-02	-7.864770000000000094e-02	5.486770000000000189e-04	2.914400000000000150e-03	-1.392580000000000033e-03
3.767569999999999947e-02	4.332369999999999971e-02	-8.298389999999999933e-02	7.757499999999999639e-04	2.914400000000000150e-03	-1.392580000000000033e-03
2.645060000000000119e-02	1.130049999999999943e-01	-5.732330000000000064e-02	-4.730180000000000170e-04	2.577470000000000108e-03	-1.314019999999999945e-03
3.767849999999999672e-02	3.536790000000000073e-02	-8.932370000000000587e-02	8.211089999999999882e-04	2.914400000000000150e-03	-1.285869999999999938e-03
5.631950000000000151e-02	3.531600000000000017e-02	-9.515389999999999959e-02	1.033419999999999955e-03	2.914400000000000150e-03	-1.392580000000000033e-03
3.967930000000000068e-02	1.161169999999999980e-01	-7.065180000000000071e-02	-1.999530000000000014e-04	2.914400000000000150e-03	-1.302200000000000102e-03
3.291290000000000188e-02	5.977720000000000256e-02	-7.793350000000000277e-02	5.610219999999999964e-04	2.914400000000000150e-03	-1.392580000000000033e-03
4.904929999999999707e-02	4.725130000000000302e-02	-7.795249999999999402e-02	9.537709999999999591e-04	2.914400000000000150e-03	-1.142350000000000093e-03
3.537309999999999760e-02	1.371870000000000034e-01	-4.611250000000000071e-02	-3.086949999999999980e-04	2.914400000000000150e-03	-8.733179999999999893e-04
4.911979999999999819e-02	4.817679999999999879e-02	-8.231099999999999528e-02	8.554329999999999530e-04	3.192790000000000038e-03	-9.706499999999999850e-04
6.698060000000000125e-02	6.419270000000000531e-02	-7.898789999999999978e-02	1.021699999999999952e-03	3.459470000000000080e-03	-1.082630000000000007e-03
4.908289999999999875e-02	1.209839999999999943e-01	-7.112300000000000566e-02	-2.515689999999999897e-04	3.102989999999999915e-03	-1.256079999999999914e-03
5.760250000000000092e-02	5.121210000000000345e-02	-9.357630000000000114e-02	9.597069999999999646e-04	3.335369999999999828e-03	-1.087929999999999973e-03
6.549960000000000504e-02	4.705680000000000279e-02	-8.490330000000000099e-02	1.267440000000000103e-03	3.716810000000000079e-03	-8.333639999999999581e-04
6.548800000000000454e-02	1.157470000000000027e-01	-7.188219999999999332e-02	7.411110000000000267e-05	3.365570000000000020e-03	-8.333639999999999581e-04
6.969559999999999644e-02	4.236150000000000332e-02	-1.055180000000000007e-01	1.162250000000000089e-03	3.716810000000000079e-03	-9.031500000000000248e-04
6.549489999999999479e-02	5.026989999999999931e-02	-9.507190000000000085e-02	1.079199999999999994e-03	3.658320000000000061e-03	-9.452179999999999480e-04
6.548379999999999479e-02	9.933309999999999362e-02	-7.983179999999999443e-02	-1.768440000000000029e-04	3.280889999999999848e-03	-8.333639999999999581e-04
