component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
t_comp_cor_363	0	10.7539112303	0.0001436354	0.9946246996	True
t_comp_cor_364	0	10.7069926536	0.0001423848	0.9947670844	True
t_comp_cor_365	0	10.6659595409	0.0001412955	0.9949083799	True
t_comp_cor_366	0	10.6084963025	0.0001397772	0.9950481571	True
t_comp_cor_367	0	10.5790048085	0.0001390011	0.9951871582	True
t_comp_cor_368	0	10.5153365296	0.0001373330	0.9953244912	True
t_comp_cor_369	0	10.4390436742	0.0001353474	0.9954598386	True
t_comp_cor_370	0	10.4151012493	0.0001347273	0.9955945659	True
t_comp_cor_371	0	10.3840762801	0.0001339258	0.9957284918	True
t_comp_cor_372	0	10.3175597903	0.0001322156	0.9958607073	True
t_comp_cor_373	0	10.2575731643	0.0001306826	0.9959913899	True
t_comp_cor_374	0	10.2352179283	0.0001301136	0.9961215036	True
t_comp_cor_375	0	10.1767119755	0.0001286304	0.9962501340	True
t_comp_cor_376	0	10.1403768036	0.0001277135	0.9963778474	True
t_comp_cor_377	0	10.0876963274	0.0001263900	0.9965042374	True
t_comp_cor_378	0	10.0814713899	0.0001262340	0.9966304714	True
t_comp_cor_379	0	10.0361688321	0.0001251021	0.9967555735	True
t_comp_cor_380	0	9.9577553802	0.0001231548	0.9968787284	True
t_comp_cor_381	0	9.9162271960	0.0001221298	0.9970008581	True
t_comp_cor_382	0	9.8854275837	0.0001213723	0.9971222304	True
t_comp_cor_383	0	9.8615647115	0.0001207870	0.9972430174	True
t_comp_cor_384	0	9.7909600625	0.0001190636	0.9973620811	True
t_comp_cor_385	0	9.7648647968	0.0001184298	0.9974805109	True
t_comp_cor_386	0	9.6827048845	0.0001164453	0.9975969562	True
t_comp_cor_387	0	9.6506389056	0.0001156753	0.9977126315	True
t_comp_cor_388	0	9.5970967666	0.0001143953	0.9978270269	True
t_comp_cor_389	0	9.5659362768	0.0001136537	0.9979406806	True
t_comp_cor_390	0	9.4954309231	0.0001119845	0.9980526651	True
t_comp_cor_391	0	9.4061673829	0.0001098889	0.9981625540	True
t_comp_cor_392	0	9.3760042186	0.0001091853	0.9982717393	True
t_comp_cor_393	0	9.3471762643	0.0001085149	0.9983802542	True
