Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07
-0.0028381223	-0.0687731016	0.0084951638	0.0680743183	-0.0140947258	-0.0669149341	0.0195989208	0.0653027935
-0.0033537692	-0.0686805646	0.0100296208	0.0677056708	-0.0166107113	-0.0660910853	0.0230348617	0.0638520630
-0.0038692285	-0.0685726572	0.0115590276	0.0672764175	-0.0191034652	-0.0651341378	0.0264076657	0.0621727586
-0.0043844712	-0.0684494034	0.0130826140	0.0667869427	-0.0215695012	-0.0640460189	0.0297080881	0.0602708918
-0.0048994687	-0.0683108309	0.0145996130	0.0662376845	-0.0240053703	-0.0628289198	0.0329270827	0.0581532710
-0.0054141920	-0.0681569707	0.0161092606	0.0656291347	-0.0264076657	-0.0614852915	0.0360558264	0.0558274765
-0.0059286124	-0.0679878572	0.0176107967	0.0649618379	-0.0287730276	-0.0600178402	0.0390857437	0.0533018341
-0.0064427011	-0.0678035283	0.0191034652	0.0642363914	-0.0310981478	-0.0584295208	0.0420085296	0.0505853850
-0.0069564293	-0.0676040252	0.0205865146	0.0634534447	-0.0333797744	-0.0567235322	0.0448161731	0.0476878533
-0.0074697683	-0.0673893925	0.0220591980	0.0626136985	-0.0356147165	-0.0549033099	0.0475009785	0.0446196115
-0.0079826894	-0.0671596784	0.0235207740	0.0617179046	-0.0377998481	-0.0529725197	0.0500555871	0.0413916431
-0.0084951638	-0.0669149341	0.0249705065	0.0607668648	-0.0399321132	-0.0509350499	0.0524729968	0.0380155034
-0.0090071630	-0.0666552146	0.0264076657	0.0597614305	-0.0420085296	-0.0487950036	0.0547465817	0.0345032780
-0.0095186582	-0.0663805778	0.0278315278	0.0587025015	-0.0440261933	-0.0465566908	0.0568701099	0.0308675398
